Name
Amstrad CPC
Atari ST/STe
BBC Micro
ZX Spectrum
ZX81
Atari 2600
Atari Lynx
Game Boy
Game Boy Color
Game Boy Advance
Neo Geo AES
Neo Geo MVS
Nintendo 64
Nintendo Entertainment System
PlayStation
Sega 32X
Sega Master System/Mark III
Sega Game Gear
Sega Saturn
Super Nintendo Entertainment System
TurboGrafx-16/PC Engine
